 
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,,69,2024-03-19,MIN,,DEN,L 112-115,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
64,745,70,2024-03-22,MIN,,CLE,W 104-91,*,37:11,4,8,.500,0,0,,4,8,.500,.500,1,4,.250,6,9,15,1,0,2,1,2,9,11.0,10
65,746,71,2024-03-24,MIN,,GSW,W 114-110,*,37:10,7,10,.700,0,0,,7,10,.700,.700,3,3,1.000,1,11,12,2,0,1,4,5,17,12.9,8
66,747,72,2024-03-27,MIN,,DET,W 106-91,*,34:19,5,5,1.000,0,0,,5,5,1.000,1.000,1,1,1.000,5,9,14,4,0,2,3,4,11,15.3,20
67,748,73,2024-03-29,MIN,@,DEN,W 111-98,*,34:48,7,8,.875,0,0,,7,8,.875,.875,7,15,.467,3,9,12,2,0,3,0,5,21,21.3,1
68,749,74,2024-03-31,MIN,,CHI,L 101-109,*,37:40,8,9,.889,0,0,,8,9,.889,.889,3,7,.429,3,7,10,1,2,1,0,2,19,21.1,-4
69,750,75,2024-04-02,MIN,,HOU,W 113-106,*,35:12,4,7,.571,0,0,,4,7,.571,.571,4,6,.667,1,13,14,0,0,2,1,3,12,11.7,-8
70,751,76,2024-04-03,MIN,,TOR,W 133-85,*,27:28,3,6,.500,0,0,,3,6,.500,.500,5,8,.625,5,10,15,3,1,2,4,3,11,12.6,33
71,752,77,2024-04-05,MIN,@,PHO,L 87-97,*,29:03,2,5,.400,0,0,,2,5,.400,.400,0,0,,2,4,6,1,0,2,1,4,4,3.4,-26
72,753,78,2024-04-07,MIN,@,LAL,W 127-117,*,36:51,9,13,.692,0,0,,9,13,.692,.692,0,0,,8,8,16,3,2,1,3,2,18,21.5,8
73,754,79,2024-04-09,MIN,,WAS,W 130-121,*,38:21,5,9,.556,0,0,,5,9,.556,.556,9,13,.692,5,11,16,3,2,4,1,3,19,24.6,12
74,755,80,2024-04-10,MIN,@,DEN,L 107-116,*,38:46,6,7,.857,0,0,,6,7,.857,.857,1,3,.333,5,10,15,3,2,1,2,5,13,17.0,-17
75,756,81,2024-04-12,MIN,,ATL,W 109-106,*,36:43,10,10,1.000,0,0,,10,10,1.000,1.000,5,8,.625,4,15,19,0,1,5,1,2,25,30.8,13
76,757,82,2024-04-14,MIN,,PHO,L 106-125,*,32:12,7,9,.778,0,0,,7,9,.778,.778,7,9,.778,3,4,7,1,2,1,1,3,21,21.2,-17
,,,,,,,53-23,76,2588,406,614,.661,0,3,.000,406,611,.664,.661,249,390,.638,285,697,982,102,52,162,118,238,1061,15.4,411
